year,lbr_prod,lbr_prod_pctchg,lbr_output,lbr_output_pctchg,emp_trk_trans,emp_cour_msg,emp_drv_sls,est_total,regist,freight_val,freight_val_pctchg,freight_val_pcttotal,freight_tons,freight_tons_pctchg,freight_tons_pcttotal,freight_tonmi,freight_tonmi_pctchg,freight_tonmi_pcttotal,cptm,tax,oper_rev,oper_exp,miles_total,miles_avg_per_unit,fuel_total,fuel_avg_per_unit,fuel_avg_mpg,fatalities,fatality_rate_permi,fatality_rate_pertruck,vehicle_inv_permi,vehicle_inv_pertruck,miles_per_emp,miles_per_est,emp_per_est
1960,,,,,,,,,,,,,,,,,,,,2830000000.0,,,127404000000.0,10693.0,15882000000.0,1333.0,,,,,,,,,
1970,,,,,,,,64756.0,4586487.0,,,,,,,,,,,5632000000.0,,,62215000000.0,13565.0,11316000000.0,2467.0,5.5,,,,,,,960760392859.349,
1980,,,,,,,,69796.0,5790653.0,,,,,,,1265586000000.0,,,,9888000000.0,,,108491000000.0,18736.0,19960000000.0,3447.0,5.4,1262.0,1.16,2.18,4.96,9.29,,1554401398360.9375,
1981,,,,,,,,,,,,,,,,1297731884400.0,-0.3619556096819886,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,1330694274263.76,0.02540000000000009,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,1364493908830.0596,0.02540000000000009,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,1399152054114.3433,0.02540000000000009,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,1434690516288.8477,0.02540000000000009,,0.053399999999999996,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,1471131655402.5845,0.02540000000000009,,0.057362279999999995,,,,,,,,,,,,,,,,
1987,72.0,,68.0,,,,,,,,,,,,,1508498399449.8103,0.02540000000000009,,0.061618561175999995,,,,,,,,,,,,,,,,
1988,75.0,0.04166666666666674,69.0,0.014705882352941124,,,,,,,,,,,,1546814258795.8357,0.02540000000000009,,0.0661906584152592,,,,,,,,,,,,,,,,
1989,74.0,-0.013333333333333308,68.0,-0.01449275362318836,,,,,,,,,,,,1586103340969.25,0.02540000000000009,,0.07110200526967143,,,,,,,,,,,,,,,,
1990,78.0,0.054054054054053946,71.0,0.044117647058823595,1122600.0,375000.0,,90709.0,6195876.0,,,,,,,1626331000000.0,0.2850418699321895,,0.0764,19356000000.0,127314000000.0,,146242000000.0,23603.0,24490000000.0,3953.0,6.0,705.0,0.48,1.14,3.27,7.71,,1612210475256.0386,
1991,81.0,0.03846153846153855,73.0,0.028169014084507005,,,,,,,,,,,,1598520739900.0,0.007828871303657836,,0.0754,,126772000000.0,,,,,,,,,,,,,,
1992,86.0,0.06172839506172845,78.0,0.06849315068493156,,,,,,,,,,,,1571186035247.71,-0.017100000000000004,,0.0775,,135437000000.0,,,,,,,,,,,,,,
1993,84.0,-0.023255813953488413,78.0,,,,,,,8784000000000.0,,1.5025658569962368,12738000000.0,,1.314822460776218,1544318754044.974,-0.05042777021099998,0.6378846567719844,0.0848,,142547000000.0,,,,,,,,,,,,,,
1994,86.0,0.023809523809523725,81.0,0.03846153846153855,,,,,,,,,,,,1517910903350.8052,-0.033907589999999876,,0.0916,,155713000000.0,,,,,,,,,,,,,,
1995,83.0,-0.03488372093023251,78.0,-0.03703703703703709,1249300.0,516800.0,,112887.0,6719421.0,,,,,,,1491880000000.0,-0.03395591351048699,,0.10550000000000001,25117000000.0,161806000000.0,,178156000000.0,26514.0,28993000000.0,4315.0,6.1,648.0,0.36,0.96,2.51,6.66,,1578179949861.3657,
1996,82.0,-0.012048192771084376,79.0,0.012820512820512775,1282600.0,539900.0,,116861.0,7006408.0,,,,,,,1571238000000.0,0.053193286323296674,,0.107,,172743000000.0,,182971000000.0,26092.0,29601000000.0,4221.0,6.2,621.0,0.34,0.89,2.6,6.78,,1565714823593.8423,
1997,86.0,0.04878048780487809,83.0,0.05063291139240511,1308500.0,546000.0,,121111.0,7083326.0,9920000000000.0,0.12932604735883424,1.4285714285714286,15241000000.0,0.19649866541058247,1.3743011722272318,1794248000000.0,0.14193266710708374,0.6742758361518226,0.09970000000000001,28010000000.0,183153000000.0,,191477000000.0,27032.0,29878000000.0,4218.0,6.4,723.0,0.38,1.02,2.57,6.94,,1581004202756.1494,
1998,86.0,,82.0,-0.012048192771084376,1354700.0,568200.0,,119572.0,7732270.0,,,,,,,1899291000000.0,0.058544303797468444,,0.1017,28697000000.0,197314000000.0,,196380000000.0,25397.0,31975000000.0,4135.0,6.1,742.0,0.38,0.96,2.52,6.41,,1642357742615.3281,
1999,86.0,,83.0,0.012195121951219523,1391800.0,585900.0,,120687.0,7791426.0,,,,,,,1928189000000.0,0.015215151338051847,,0.1056,30502000000.0,207751000000.0,,202688000000.0,26014.0,33909000000.0,4352.0,6.0,759.0,0.37,0.97,2.43,6.32,,1679451805082.5688,
